umap1,umap2
14.594508,10.003056
14.532122,10.137932
14.530686,10.068367
14.586517,10.186847
14.551185,9.924803
14.545552,9.930768
14.571755,9.921041
14.700819,10.025941
14.527515,9.734197
14.591793,9.758522
14.527597,9.930829
14.615992,9.940161
14.777166,10.1465
14.562871,9.971884
14.641037,9.811743
14.605314,10.012223
14.613722,9.959525
14.542054,10.099012
14.541442,10.105257
14.696949,10.064728
14.591097,9.908399
14.67022,9.905418
14.76707,9.9350395
14.535224,10.208423
14.667071,9.924771
14.515711,10.138858
14.580263,10.119375
14.456743,9.736712
14.607652,9.954594
14.615184,9.852228
14.447606,9.694533
14.577209,9.797846
14.624939,9.911416
14.61641,9.842074
14.537531,9.732725
14.575222,9.975839
14.559178,9.945849
14.631588,9.893013
14.560019,9.908369
14.550433,10.175647
14.698783,9.853471
14.632809,10.021311
14.524476,10.115824
14.559641,10.0990925
14.692279,10.035013
14.633358,9.869705
14.598354,9.773756
14.5922365,10.0220585
14.598017,9.758526
14.56893,10.194275
14.619421,10.098554
14.578227,10.086462
14.57527,9.806801
14.646979,9.867888
14.64748,9.873769
14.573251,9.898503
14.576866,9.939782
14.642954,9.8898735
14.554577,9.986589
14.699068,9.896964
14.59358,9.84598
14.613222,9.815591
14.623822,9.917585
14.5993,9.944777
14.733006,9.994686
14.730764,10.000383
14.565199,10.108809
14.579451,10.093615
14.547024,9.939426
14.588935,9.86894
14.556793,9.7040615
14.594908,9.892119
14.508125,9.71806
14.560164,9.95628
14.506102,10.009748
14.722138,9.869471
14.634243,9.951451
14.544148,9.929704
14.553355,9.6848135
14.540349,10.097229
14.537827,10.097319
14.737137,10.006568
14.526954,9.7316265
14.800195,10.051183
14.595667,9.93399
14.571142,10.123194
14.5471325,10.113172
14.621835,9.9234
14.63547,9.86086
14.545168,9.878998
14.603609,10.198126
14.60149,9.962954
14.635338,9.957655
14.628881,9.824703
14.810498,9.969136
14.564852,10.125257
14.573201,10.060597
14.757814,9.943981
14.604557,9.880322
14.633957,9.827094
14.54291,9.876262
14.781183,9.953303
14.545862,10.062638
14.58142,10.035845
14.774289,9.941137
14.56857,9.912529
14.552845,9.929912
14.770398,9.93836
14.572285,9.782562
14.783687,9.9142685
14.582139,9.858423
14.727132,10.020365
14.618419,9.896056
14.737661,10.010829
14.548281,10.069926
14.770864,10.00372
14.540827,9.897745
14.727132,10.020365
14.562718,10.060145
14.608442,9.898456
14.613826,9.756688
14.769232,9.968728
14.546571,10.203378
14.539903,9.749872
14.830715,10.057694
14.607815,10.081713
14.537235,9.752917
14.560496,10.067316
14.545639,9.751882
14.590366,9.858946
14.618419,9.896057
14.575431,9.864087
14.738416,10.020281
14.520237,9.9148035
14.56499,10.05369
14.745027,10.004483
14.775711,10.107931
14.526964,9.9178095
14.7585125,10.032642
14.548033,9.770912
14.523764,9.956475
14.804755,9.970332
14.766747,10.08861
14.586161,9.775846
14.576802,9.859225
14.622567,9.930021
14.55006,10.082929
14.49144,10.036152
14.539909,9.80929
14.624215,9.89456
14.557444,10.057846
14.586587,9.826249
14.818912,9.988838
14.758247,9.94077
14.633591,9.900603
14.612214,10.024373
14.697615,9.801509
14.765116,9.93206
14.552851,9.812698
14.547149,10.061919
14.785664,9.924733
14.557041,9.764609
14.87942,9.90252
14.884394,9.833057
14.560383,9.781757
14.803967,9.93349
14.621169,9.741853
14.555659,9.77442
14.536448,9.869264
14.608233,9.892501
14.568282,10.052
14.6225,9.862552
14.7916765,9.978074
14.554714,9.766192
14.607576,9.892858
14.532286,9.96668
14.615858,9.876343
14.571413,9.784889
14.549346,10.076825
14.547119,9.91529
14.586019,9.992593
14.581799,9.925311
14.792035,9.915296
14.579375,9.944063
14.515525,10.057181
14.764747,9.922563
14.583371,9.987939
14.52887,9.917749
14.594342,9.770546
14.588938,9.987229
14.775677,9.916875
14.769862,9.916247
14.593793,9.990408
14.642465,9.880377
14.800428,9.905054
14.603212,9.7824135
14.765645,9.926233
14.790982,9.904957
14.840093,9.849709
14.594342,9.770546
14.539887,9.710875
14.768819,9.917752
14.652957,9.893072
14.580728,10.018837
14.599479,10.017335
14.590087,9.927765
14.697295,9.874663
14.625837,9.926584
14.661971,9.832958
14.597783,9.837102
14.607071,9.948613
14.648892,9.905228
14.6064,9.951218
14.840886,9.8701105
14.651646,9.889135
14.775346,9.917388
14.787771,9.9175005
14.79217,9.919532
14.669194,9.908733
14.76197,9.925454
14.613352,9.786987
14.603612,9.947486
14.554992,9.87872
14.587936,9.936766
14.67242,9.761052
14.567341,9.980338
14.566821,9.898899
14.618575,9.975764
14.833097,9.967028
14.623115,9.756165
14.683951,9.886026
14.528191,9.917413
14.521221,9.7940035
14.625266,9.903524
14.473036,9.972851
14.68606,9.809422
14.552717,9.899253
14.77267,9.918615
14.768293,9.919321
14.836337,9.900849
14.619241,9.910956
14.814878,9.888126
14.520714,9.908197
14.57266,9.737664
14.738425,10.074945
14.638165,9.839943
14.625726,9.91379
14.770451,9.923002
14.686318,9.744002
14.562147,9.963892
14.76804,9.8897915
14.600982,9.885441
14.769906,9.916281
14.574602,9.965648
14.806943,9.89008
14.617673,9.771182
14.800339,9.90359
14.631087,9.864536
14.775313,9.917654
14.615119,9.921243
14.713812,9.91463
14.809771,9.904354
14.55899,9.718131
14.735055,9.861639
14.645898,9.799717
14.689356,9.997418
